id,gen,ht,wt,imb,age,cirw,cirth,cirn
242,1,176,70,22598,52,85,105,36
243,1,160,62,24219,33,77,98,34
244,1,168,72,25510,48,98,75,36
245,0,188,85,24049,35,89,102,40
246,1,168,57,20196,34,66,94,34
247,0,175,71,23184,25,70,103,38
248,1,160,50,19531,25,70,92,32
249,1,168,68,24093,36,75,105,35
250,1,,84,,33,94,114,37
251,1,164,65,24167,48,80,98,38
252,1,164,58,21565,35,71,101,35
253,1,176,91,29378,35,95,115,37
254,1,149,68,30629,53,98,108,38
255,1,166,64,23225,31,88,99,36
256,1,178,73,23040,35,80,107,38
257,1,165,84,30854,44,102,112,38
258,1,164,50,18590,27,67,91,35
259,0,180,92,28395,30,98,108,41
260,0,182,99,29888,26,105,100,44
261,0,180,82,25309,26,81,105,41
262,0,190,87,24100,24,84,96,37
263,1,176,59,19047,34,80,99,34
264,1,168,112,39683,56,121,141,40
265,1,155,53,22060,45,70,87,35
266,0,178,68,21462,52,88,97,38
267,1,165,85,31221,56,95,111,38
268,1,174,78,25763,26,81,101,38
269,1,163,67,25217,35,79,99,35
270,0,178,78,24618,49,90,102,42
271,0,183,85,25381,23,89,107,43
272,1,168,64,22676,46,78,99,35
273,1,157,88,35701,52,91,123,35
274,0,174,100,33029,58,109,116,45
275,1,160,55,21484,49,70,98,37
276,0,176,67,21630,47,83,80,39
277,0,176,98,31637,27,107,112,42
278,0,183,96,28666,27,97,108,42
279,1,174,62,20478,33,74,94,33
280,0,172,82,27718,49,95,100,39
281,1,166,69,25040,49,84,100,37
282,1,162,125,47630,42,118,141,40
283,1,158,70,28040,50,86,102,36
284,1,160,50,19531,32,68,91,33
285,1,173,59,19713,28,64,96,31
286,1,158,54,21631,34,72,94,35
287,0,178,84,26512,26,83,106,43
288,0,182,71,21435,28,80,96,40
289,1,158,63,25236,43,78,101,35
290,1,165,55,20202,35,70,95,32
291,1,164,75,27885,49,90,106,37
292,1,172,93,31436,46,100,119,40
293,1,165,55,20202,37,70,96,31
294,1,165,65,23875,26,87,104,34
295,1,172,72,24337,26,75,103,38
296,1,163,55,20701,23,72,96,36
297,1,168,56,19841,39,70,100,33
298,1,165,59,21671,26,74,102,32
299,1,171,72,24623,37,76,107,36
300,1,168,63,22321,43,77,95,36
301,0,186,97,28038,46,96,102,41
302,0,183,79,23590,34,85,100,40
303,1,168,85,30116,56,98,102,38
304,1,170,67,23183,38,74,104,34
305,1,166,57,20685,34,80,99,34
306,1,162,69,26292,49,86,107,36
307,1,170,62,21453,44,86,98,36
308,1,168,74,26219,49,89,105,37
309,1,172,71,23999,52,91,102,37
310,1,182,62,18718,33,73,94,36
311,1,170,91,31488,43,90,112,37
312,1,173,74,24725,32,76,111,31
313,1,162,93,35437,56,96,121,36
314,1,164,84,31231,48,108,114,40
315,1,170,87,30104,46,92,112,37
316,1,159,90,35600,50,101,122,40
317,1,168,65,23030,45,89,104,38
318,1,175,93,30367,28,90,110,37
319,1,164,64,23795,53,77,100,34
320,0,178,65,20515,27,73,95,37
321,1,174,59,19487,21,67,92,32
322,1,162,60,22862,40,73,98,38
323,1,170,77,26644,49,93,111,37
324,1,176,80,25826,39,85,108,35
325,0,172,99,33464,42,104,110,44
326,1,162,55,20957,39,69,100,33
327,1,170,82,28374,34,92,110,37
328,1,170,84,29066,37,95,111,38
329,1,155,47,19563,26,68,83,31
330,1,164,65,24167,49,76,100,34
331,1,168,79,27990,50,97,114,37
332,1,164,57,21193,51,72,98,37
333,0,185,74,21622,31,79,88,39
334,1,168,60,21259,38,66,98,32
335,1,160,72,28125,48,82,98,37
336,1,164,85,31603,51,104,114,39
337,0,181,72,21977,40,85,98,40
338,0,176,85,27441,31,103,100,41
339,1,164,79,29372,43,86,110,36
340,1,162,70,26673,45,80,101,39
341,1,161,55,21218,47,69,92,35
342,1,160,63,24609,49,81,102,36
343,1,156,56,23011,43,70,96,34
344,1,167,64,22948,52,67,101,32
345,1,172,62,20957,29,72,97,35
346,1,170,84,29066,36,85,113,37
347,1,160,66,25781,40,88,100,38
348,1,159,57,22547,50,75,102,38
349,1,174,85,28075,55,86,110,42
350,1,164,85,31603,49,102,115,40
351,1,160,53,20703,48,67,90,33
352,1,160,61,23828,37,74,96,33
353,1,158,58,23233,43,79,96,36
354,1,169,61,21358,44,70,99,33
355,0,188,80,22635,30,74,86,42
356,0,191,118,32346,39,112,120,44
357,0,176,72,23244,35,79,97,38
358,1,173,62,20716,44,74,97,36
